2000	200	1000
0	0	50
1735.9	19.3	50
1716.6	19.2	50
1697.4	19.1	50
1678.3	19	50
1659.3	19	50
1640.3	18.9	50
1621.4	18.8	50
1602.6	18.8	50
1583.8	18.6	50
1547	18.5	50
1528.5	18.4	50
1492.1	18.2	50
1473.9	18.2	50
1455.7	18.1	50
1437.6	18	50
1384.1	17.8	50
1366.3	17.7	50
1348.6	17.6	50
1331	17.6	50
1313.4	17.5	50
1278.5	17.3	50
1261.2	17.2	50
1244	17.2	50
1209.7	17	50
1192.7	16.9	50
1175.8	16.9	50
1158.9	16.8	50
1125.4	16.7	50
1108.7	16.5	50
1092.2	16.5	50
1075.7	16.4	50
1043	16.2	50
1026.8	16.1	50
1010.7	16.1	50
994.6	16	50
978.6	15.9	50
962.7	15.8	50
946.9	15.8	50
915.4	15.6	50
899.8	15.5	50
868.8	15.4	50
808.6	15.1	50
793.5	15.1	50
778.4	15	50
763.4	14.9	50
748.5	14.8	50
733.7	14.7	50
719	14.6	50
704.4	14.6	50
689.8	14.5	50
675.3	14.4	50
660.9	14.3	50
646.6	14.3	50
632.3	14.2	50
604	14.1	50
589.9	14	50
575.9	13.9	50
562	13.9	50
534.6	13.7	50
520.9	13.6	50
507.3	13.6	50
493.7	13.5	50
480.2	13.5	50
466.7	13.3	50
440.3	13.2	50
427.1	13.1	50
414	13	50
388	13	50
362.2	12.8	50
349.4	12.7	50
336.7	12.6	50
324.1	12.4	50
299.4	12.4	50
287	12.4	50
274.6	12.3	50
262.3	12.3	50
250	12.2	50
237.8	12.1	50
225.7	12	50
213.7	11.9	50
201.8	11.9	50
189.9	11.8	50
166.4	11.7	50
132.1	11.4	50
120.7	11.4	50
109.3	11.3	50
98	11.2	50
86.8	11.1	50
64.6	7	50
1593.3	35.7	100
1557.6	35.3	100
1522.3	35.1	100
1452.4	34.5	100
1417.9	34.2	100
1383.7	34	100
1316.1	33.4	100
1249.6	32.9	100
1216.7	32.6	100
1151.8	32.1	100
1119.7	31.7	100
1088	31.5	100
1056.5	31.2	100
1025.3	30.9	100
963.7	30.4	100
873.4	29.6	100
814.5	29	100
785.5	28.8	100
756.7	28.3	100
728.4	28.2	100
700.2	28	100
672.2	27.7	100
589.8	27	100
536	26.5	100
509.5	26	100
483.5	26	100
431.7	25.4	100
406.3	25.2	100
381.1	25	100
356.1	24.7	100
331.4	24.5	100
306.9	24.2	100
282.7	23.9	100
258.8	23.7	100
235.1	23.4	100
211.7	23	100
188.7	22.9	100
165.8	22.8	100
143	22.5	100
120.5	22.1	100
98.4	21.9	100
76.5	21.6	100
54.9	21.4	100
33.5	21	100
1644.3	51.4	150
1592.9	51.1	150
1491.2	49.9	150
1441.3	49.3	150
1392	48.5	150
1343.5	47.9	150
1295.6	47.6	150
1248	46.8	150
1201.2	46.5	150
1108.9	46.4	150
1062.5	45.9	150
1016.6	45.3	150
971.3	44.7	150
926.6	44.1	150
796	42.4	150
753.6	41.5	150
712.1	41.1	150
671	40.5	150
590.8	39.4	150
551.4	38.9	150
512.5	38.4	150
474.1	37.9	150
436.2	37.3	150
398.9	36.8	150
362.1	36.3	150
325.8	35.7	150
290.1	35.2	150
254.9	34.6	150
152.7	33	150
119.7	32.4	150
87.3	31.9	150
55.4	31.4	150
1766.7	70.5	200
1626	69.2	200
1556.8	68.2	200
1488.6	67.2	200
1421.4	66.1	200
1355.3	65.2	200
1226	63.1	200
921.1	58	200
750.4	55	200
695.4	54.1	200
641.3	53.1	200
588.2	52.1	200
484.9	50.3	200
385.2	48.4	200
336.8	47.2	200
289.6	46.5	200
243.1	45.6	200
197.5	44.6	200
152.9	43.6	200
109.3	42.5	200
1698.1	86.5	250
1611.6	85.7	250
1525.9	84	250
1278.7	79.3	250
1199.4	77.6	250
1121.8	76	250
1045.8	74.5	250
971.3	72.9	250
898.4	71.4	250
757.1	68	250
689.1	66.8	250
622.3	65.1	250
557.2	63.8	250
493.4	62.5	250
430.9	61	250
369.9	59.6	250
310.3	58.1	250
252.2	56.6	250
195.6	55.1	250
140.5	53.6	250
1740.7	103.9	300
1636.8	102.6	300
1534.2	100.3	300
1433.9	97.8	300
1336.1	95.6	300
1147.4	91	300
967.6	86.3	300
881.3	84.5	300
714.5	80.1	300
634.4	78	300
480.4	74	300
334.5	70	300
196.7	65.6	300
67.5	58.9	300
1738.6	119.4	350
1619.2	117.6	350
1501.6	114.2	350
1387.4	111.5	350
1275.9	108.5	350
1167.4	105.4	350
959.6	99.5	350
860.1	96.6	350
763.5	93.6	350
669.9	90.9	350
405.6	82.4	350
323.2	79.8	350
243.4	76.9	350
166.5	74	350
92.5	71	350
1657.9	135.5	400
1522.4	131.4	400
1263.9	123.5	400
1020.8	115.8	400
905	112	400
793	108.3	400
684.7	104.5	400
479.3	97.3	400
382	93.7	400
288.3	90	400
198.3	86.2	400
112.1	82.2	400
1736.8	153.5	450
1583.3	149.5	450
1433.8	144	450
1289.8	139.3	450
1150.5	134.4	450
1016.1	129.6	450
886.5	124.7	450
761.8	120.1	450
526.4	110.9	450
415.5	106.4	450
110.4	91.7	450
1569	165.3	500
1403.7	158.9	500
1091.7	146.9	500
944.8	140.9	500
803.9	134.9	500
669	129.1	500
539.9	123.6	500
416.3	118	500
298.3	112.4	500
185.9	106.1	500
1727.1	186.6	550
1360	172.8	550
1187.2	165.6	550
1021.6	158.3	550
863.3	150.8	550
712.5	143.7	550
568.8	137.3	550
431.5	130.5	550
301	123.5	550
177.5	116.4	550
1544	180.7	550
1190.4	165.5	550
1024.9	157.9	550
867	151.1	550
715.9	144.1	550
571.8	137.2	550
434.6	130.4	550
304.2	123.7	550
180.5	116.7	550
